datetime,title,crime_type,address,zip
2016-09-21T21:20:00-04:00,Person shot in Mattapan,Shooting,Cedard St. and Sanford St.,02126
2016-09-20T21:50:00-04:00,Man stabbed in the hand in Uphams Corner,Stabbing,Dudley St. and Monadnock St.,02125
2016-09-20T20:45:00-04:00,Person shot in Roxbury,Shooting,Dudley St. and Miller Park,02119
2016-09-20T20:06:00-04:00,Man shot to death in Dorchester,Murder,55 Downer Ave.,02125
2016-09-20T17:30:00-04:00,Man stabbed in the Fenway,Stabbing,Park Dr. and Agassiz Rd.,02215
2016-09-19T16:10:00-04:00,Brigham Circle bank held up,Bank robbery,6 Francis St.,02115
2016-09-18T22:15:00-04:00,Person shot in the head in Allston,Shooting,20 Linden St.,02134
2016-09-17T02:20:00-04:00,One dead in Dorchester triple shooting,Murder,Nightingale St. and Wales St.,02124
2016-09-16T13:00:00-04:00,Dorchester bank held up,Bank robbery,585 Columbia Rd.,02125
2016-09-14T21:40:00-04:00,Gunfire in a Dorchester park,Gunfire,40 Bourneside St.,02124
2016-09-13T19:40:00-04:00,"Blocked in, gun suspect rams unmarked police cruiser in Roxbury, police say",Assault with a dangerous weapon,Geneva Ave. and Bowdoin St.,02121
2016-09-13T14:15:00-04:00,Shots fired in Roslindale,Gunfire,Washington St. and Granfield Ave.,02131
2016-09-10T23:10:00-04:00,Man shot in Dorchester,Shooting,Bowdoin St. and Tebroc St.,02122
2016-09-08T22:45:00-04:00,Shots fired on Walnut Avenue in Roxbury,Gunfire,334 Walnut Ave.,02119
2016-09-07T19:45:00-04:00,Man shot to death in Dorchester,Murder,10 Ripley Rd.,02121
2016-09-06T15:00:00-04:00,Man sought for Back Bay bank robbery,Bank robbery,575 Boylston St.,02116
2016-09-05T15:40:00-04:00,Stabbing at Dudley T stop,Stabbing,Dudley Station,02119
2016-09-05T04:11:00-04:00,Police hunt man for Greenway sexual assault early today,Sexual attack,State St. and Atlantic Ave.,02110
2016-09-04T11:40:00-04:00,"Police: Prowler pepper sprays cops, swings on rope from Allston roof to try to escape, punches man",Armed home invasion,19 St. Luke&#039;s Rd.,02134
2016-09-03T22:30:00-04:00,"Driver slams into woman on Morton Street, killing her, then speeds away",Hit and run,Morton St and Canterbury St.,02131
2016-09-02T21:00:00-04:00,Man shot near Egleston Square,Shooting,Walnut Park and Waldren Rd.,02119
2016-09-01T19:42:00-04:00,"Police: Gun-toting drug dealer, associate arrested in the Public Garden",Illegal gun possession,Boston Public Garden,02116
2016-08-27T20:45:00-04:00,"Woman stabbed on Olney Street, Dorchester",Stabbing,38 Olney St.,02121
2016-08-27T14:46:00-04:00,Two injured in large fight behind East Boston supermarket,Stabbing,246 Border St.,02128
2016-08-27T03:30:00-04:00,Man shot to death outside Jamaica Plain convenience store,Murder,454 Centre St.,02130
2016-08-27T01:45:00-04:00,Man shot to death in Dorchester,Murder,58 Westville St.,02124
2016-08-25T15:40:00-04:00,Bank on Hyde Park/Mattapan line held up,Bank robbery,860 River St.,02126
2016-08-25T10:05:00-04:00,Police: Chase of gun-toting Boston Common drug dealer ends in Winter Street struggle,Illegal gun possession,Winter St. and Tremont St.,02108
2016-08-25T01:12:00-04:00,Angry patron kicked out of Theater District club tries to carve up doorman,Stabbing,246 Tremont St.,02116
2016-08-25T01:00:00-04:00,Teen shot in the stomach in Dorchester,Shooting,McClellan St. and Page St.,02121
2016-08-24T02:40:00-04:00,New Hampshire bank-robbery suspect arrested after five-hour stand off in South Boston,Illegal gun possession,9 Orton Marotta Way,02127
2016-08-22T03:30:00-04:00,Gunfire overnight in Chinatown,Gunfire,15 Edinboro St.,02111
2016-08-22T01:00:00-04:00,Woman was marched half a mile to a rape by a man with a knife in the South End,Rape,687 Columbus Ave.,02120
2016-08-21T22:45:00-04:00,Man shot in Egleston Square,Shooting,School St. and Dixwell St.,02119
2016-08-21T20:25:00-04:00,Gunfire erupts in Fields Corner,Gunfire,21 Bourneside St.,02124
2016-08-21T19:10:00-04:00,Police: Shotgun-toting Mission Hill burglar foiled in getaway when jacket gets jammed in his bicycle wheel,Burglary,60 Wait St.,02120
2016-08-21T19:00:00-04:00,Man stabbed in the South End,Stabbing,73 Warren Ave.,02116
2016-08-20T23:45:00-04:00,Three shot on Blue Hill Avenue in Dorchester,Shooting,930 Blue Hill Ave.,02124
2016-08-20T00:15:00-04:00,"Two shot in Uphams Corner, one dead",Murder,6 Dudley Terrace,02125
2016-08-19T20:50:00-04:00,Man shot in the leg in Dorchester,Shooting,1474 Dorchester Ave.,02122
2016-08-18T22:20:00-04:00,Man shot in the back in Mattapan,Shooting,10 Orlando St.,02126
2016-08-18T17:10:00-04:00,"Two shot on Roslindale/Mattapan line, search extended to Forest Hills, Roxbury, three in custody",Shooting,Walk Hill St. and American Legion Hwy,02131
2016-08-17T06:55:00-04:00,Man stabbed to death in East Boston,Murder,214 Paris St.,02128
2016-08-17T05:56:00-04:00,"You snooze, you lose: Dorchester man arrested after police find him sleeping in a schoolyard with a loaded gun",Illegal gun possession,40 School St,02108
2016-08-16T22:00:00-04:00,"Police: Woman bites, kicks, punches commuter-rail conductor, then threatens to stab him",Assault and battery with a dangerous weapon,Milton St. and Hyde Park Ave.,02136
2016-08-16T18:00:00-04:00,Person shot in Dorchester,Shooting,60 Stockton St.,02124
2016-08-15T23:45:00-04:00,"Person shot, seriously wounded on Gavin Way in South Boston",Shooting,24 Gavin Way,02127
2016-08-15T20:30:00-04:00,"Arlington man charged as one-man crime wave in Charlestown, Somerville",Carjacking,437 Rutherford Ave.,02129
2016-08-15T00:30:00-04:00,T bus driver punched in the face in Allston,Assault and battery,Brighton Ave. and Cambridge St.,02134
2016-08-14T22:45:00-04:00,Night did not end well for man police say showed up at a party wearing a bullet-proof vest and carrying a loaded gun,Improper gun use,134 Whitfield St.,02124
2016-08-14T17:53:00-04:00,Police: Teen with realistic-looking BB gun arrested at Dominican festival on City Hall Plaza,Replica firearm,1 City Hall Sq.,02108
2016-08-13T22:30:00-04:00,"Two charged with threatening woman with guns, one of them pink",Illegal gun possession,7 Topliff St.,02122
2016-08-13T11:59:00-04:00,Shots fired in Roxbury,Gunfire,5 Raynor Circle,02120
2016-08-12T23:38:00-04:00,Man shot to death in Dorchester,Murder,21 Algonquin St.,02124
2016-08-11T23:39:00-04:00,Police locate guy who may have had young son in his SUV while he shot a man,Shooting,198 Blue Hill Ave.,02125
2016-08-11T02:55:00-04:00,Person stabbed repeatedly in Dorchester,Stabbing,28 Millet St.,02124
2016-08-10T23:30:00-04:00,Man stabbed outside Dorchester convenience store,Stabbing,156 Washington St.,02135
2016-08-08T23:21:00-04:00,Codman Square building shot at several times,Gunfire,22 Southern Ave.,02124
2016-08-07T01:00:00-04:00,Police rack up four arrests and three loaded guns in two Mission Hill foot chases,Illegal gun possession,64 McGreevey Way,02120
2016-08-07T00:15:00-04:00,Shots fired on Harrison Avenue in the South End,Gunfire,700 Harrison Ave.,02118
2016-08-06T22:50:00-04:00,Man stabbed in the side downtown,Stabbing,Summer St. and High St.,02110
2016-08-05T23:55:00-04:00,Man stabbed in the Back Bay,Stabbing,Commonwealth Ave. and Clarendon St.,02116
2016-08-04T17:15:00-04:00,Police say guy with a thing for bricks smashes man in the head with a brick for looking at him funny in North Station,Assault and battery with a dangerous weapon,100 Legends Way,02114
2016-08-04T15:00:00-04:00,Police tend to get suspicious when they see somebody jump out of a moving car - especially one they&#039;re trying to pull over,Illegal gun possession,12 Powellton Rd.,02121
